Question_ID	Annotation_ID	Label	Span_Start	Span_End	Original_Span
A-Q01	1	Hadith	37	76	لا تنكح المرأة على عمتها ولا على خالتها
A-Q02	1	Ayah	180	312	لَقَدْ كَانَ لَكُمْ فِي رَسُولِ اللَّهِ أُسْوَةٌ حَسَنَةٌ لِمَن كَانَ يَرْجُو اللَّهَ وَالْيَوْمَ الْآخِرَ وَذَكَرَ اللَّهَ كَثِيرًا
A-Q02	2	Hadith	571	600	اختر منهم أربعاً وفارق سائرهن
A-Q02	3	Hadith	705	721	اختر منهن أربعاً
A-Q02	4	Hadith	834	861	أن يطلق أربعاً ويمسك أربعاً
A-Q02	5	Ayah	1004	1076	فَانْكِحُوا مَا طَابَ لَكُمْ مِنَ النِّسَاءِ مَثْنَى وَثُلَاثَ وَرُبَاعَ
A-Q02	6	Ayah	1521	1554	فانكحوا ما طاب لكم من النساء مثنى
A-Q02	7	Ayah	1894	1938	فانكحو ما طاب لكم من النساء مثنى وثلاث ورباع
A-Q02	8	Ayah	2077	2093	مثنى وثلاث ورباع
A-Q02	9	Ayah	2779	2795	مثنى وثلاث ورباع
A-Q02	10	Hadith	3530	3559	اختر منهم أربعاً وفارق سائرهن
A-Q02	11	Hadith	3665	3681	اختر منهن أربعاً
A-Q02	12	Hadith	3792	3819	أن يطلق أربعاً ويمسك أربعاً
A-Q02	13	Hadith	3957	3973	اختر منهن أربعًا
A-Q03	1	Ayah	105	268	أَوَلَمْ يَرَ الَّذِينَ كَفَرُوا أَنَّ السَّمَاوَاتِ وَالْأَرْضَ كَانَتَا رَتْقًا فَفَتَقْنَاهُمَا وَجَعَلْنَا مِنَ الْمَاءِ كُلَّ شَيْءٍ حَيٍّ أَفَلَا يُؤْمِنُونَ
A-Q03	2	Ayah	319	422	وَفِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ
A-Q03	3	Hadith	523	600	إن في الجسد مضغة إذا صلحت صلح الجسد كله وإذا فسدت فسد الجسد كله ألا وهي القلب
A-Q04	1	Ayah	93	194	فَتُزَوَّجْنَ بِمَنْ تُرَغِونَ مِنْهُمْ وَادْخُلُوا الْجَنَّةَ كُلَّهَا إِنَّ رَحْمانَكَ هُوَ عَظِيمٌ
A-Q04	2	Hadith	242	328	من مات له ثلاثة أولاد لم يبلغوا الحنث أدخله الله الجنة بفضل علمه إياهم القراءة والقرآن
A-Q05	1	Ayah	408	476	إِنَّ اللَّهَ لَا يَغْفِرُ أَنْ يُشْرَكَ بِهِ وَيَغْفِرُ مَا يَشَاءُ
A-Q05	2	Ayah	629	682	إِنَّ اللَّهَ يُدْرِكُ مَا تَشْتَهِي وَمَا تَنْهَوْنَ
A-Q05	3	Ayah	900	957	فَأَمَّا مَنْ أَعْطَى وَاتَّقَى وَصَدَقَ بِالْحَقِّ فَإِن
A-Q06	1	Ayah	141	330	وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُمَرًا حَتَّى إِذَا جَاءُوهَا وَفُتِحَتْ أَبْوَابُهَا وَقَالَ لَهُمْ خَزَنَتُهَا سَلَامٌ عَلَيْكُمْ طِبْتُمْ فَادْخُلُوهَا خَالِدِينَ
A-Q06	2	Ayah	378	458	وَنُفِخَ فِي الصُّورِ فَإِذَا هُمْ مِنَ الْأَجْدَاثِ إِلَىٰ رَبِّهِمْ يَنسِلُونَ
